recession,days_from,ee,employed,eu,ue,unemployed,uu,laborforce,months_from
gr,30,0.9558344119214557,144479,0.013822077949044498,0.31756756756756754,7400,0.47864864864864864,151879,-35
gr,58,0.958678254646546,145323,0.010583321291192722,0.3125994503110082,6913,0.5224938521625923,152236,-34
gr,89,0.962827862929035,145297,0.010192915201277384,0.2911818738518065,6532,0.5356705450091855,151829,-33
gr,119,0.9607511106235945,145864,0.010290407502879394,0.28862164662349676,6486,0.494295405488745,152350,-32
gr,150,0.9504960600988037,146958,0.01286762204167177,0.25099383139136394,7295,0.4326250856751199,154253,-31
gr,180,0.9586192852051726,147315,0.01291110884838611,0.2560878771836951,7556,0.48610375860243515,154871,-30
gr,211,0.9567572367252708,146406,0.01214431102550442,0.32294018058690743,7088,0.49238148984198643,153494,-29
gr,242,0.9557180705779525,146448,0.011826723478640883,0.2974683544303797,6952,0.4943901035673188,153400,-28
gr,272,0.9600798675234935,146743,0.01086934300102901,0.28052561641813084,6773,0.5112948471873616,153516,-27
gr,303,0.9623703421743091,147118,0.010896015443385582,0.2499638571635102,6917,0.4976145727916727,154035,-26
gr,333,0.966385118974401,146334,0.012963494471551382,0.212318545651879,7371,0.5149911816578483,153705,-25
gr,364,0.9646006071628621,144607,0.016147212790528814,0.19875927502736893,8221,0.49762802578761706,152828,-24
gr,395,0.9596056727775856,144550,0.013697682462815634,0.27235005658242173,7953,0.5267194769269458,152503,-23
gr,424,0.9600642280232654,145108,0.012818038977864763,0.2583779743366139,8027,0.5221128690668992,153135,-22
gr,455,0.9608623844408961,145921,0.010779805511201267,0.30135858377933306,7287,0.535748593385481,153208,-21
gr,485,0.9605556202758914,145927,0.013602691756837322,0.2446755819712729,8076,0.46285289747399705,154003,-20
gr,516,0.955574194164297,146649,0.012976563086008088,0.21403783723273256,8933,0.5026306951751931,155582,-19
gr,546,0.958179849796074,146867,0.013638189654585442,0.21965440474928444,9433,0.5325983250291529,156300,-18
gr,577,0.9573912507110597,145909,0.015989418061942717,0.2564616520730035,9479,0.5155607131553961,155388,-17
gr,608,0.9558323584061661,145310,0.014348633954992774,0.26742037177954125,9199,0.5325578867268181,154509,-16
gr,638,0.9585071078650296,145543,0.01485471647554331,0.24617171823846234,9469,0.5221248283873693,155012,-15
gr,669,0.964829298314766,144609,0.01641668222586423,0.18751872191712432,10015,0.5595606590114828,154624,-14
gr,699,0.9665224973840251,143350,0.018256016742239273,0.14919538139830893,10999,0.5575961451041004,154349,-13
gr,730,0.9638269389615198,140436,0.024459540288814835,0.13629026058882313,13009,0.5390883234683681,153445,-12
gr,761,0.959394739659541,140105,0.020127761321865743,0.16709248850281042,13699,0.6100445287977224,153804,-11
gr,789,0.9609248174608283,139833,0.018078708173321033,0.16876574307304787,13895,0.636272040302267,153728,-10
gr,820,0.9546967692373352,140586,0.015399826440755125,0.22131642512077296,13248,0.6358695652173914,153834,-9
gr,850,0.9618275471456152,140363,0.016998781730228053,0.14878694625348887,13973,0.622557790023617,154336,-8
gr,881,0.9538579523667504,140826,0.017937028673682416,0.16462404769791322,15095,0.6041735674064259,155921,-7
gr,911,0.952117968168445,141055,0.019354152635496794,0.1906453522794553,15201,0.6145648312611013,156256,-6
gr,942,0.9575652869197709,140074,0.017726344646401188,0.17088308709438035,14823,0.6420427713688187,154897,-5
gr,973,0.9546588629483962,139079,0.018342093342632603,0.19101664603109095,14538,0.6405282707387536,153617,-4
gr,1003,0.9570415851834809,139088,0.01726245254802715,0.17013817281913796,14547,0.6432941499965629,153635,-3
gr,1034,0.9613819969525342,139132,0.01524451599919501,0.16429513430971054,14407,0.6606510723953634,153539,-2
gr,1064,0.9650170710314382,137953,0.018209100200793023,0.12727272727272726,14740,0.659023066485753,152693,-1
gr,1095,0.9595421353858299,136809,0.02138017235708177,0.12547222394252802,16147,0.6189385025082058,152956,0
gr,1126,0.9573114290503852,137203,0.016668731733271137,0.15502470139453442,15991,0.6754424363704584,153194,1
gr,1154,0.9555452483276925,137983,0.015770058630410994,0.17502232427605563,15678,0.6598418165582345,153661,2
gr,1185,0.9531665015577666,139302,0.01379736112905773,0.21876925183106305,14609,0.6556232459442809,153911,3
gr,1215,0.9584937310479795,139497,0.014932220764604256,0.17238499547637276,14369,0.6472962627879463,153866,4
gr,1246,0.9562845827197209,139882,0.01571324401995968,0.15209942895532416,14885,0.6195498824319785,154767,5
gr,1276,0.9518032740091626,140134,0.018446629654473575,0.18662879038118518,15137,0.6007134835172094,155271,6
gr,1307,0.9550883010884869,139919,0.016759696681651528,0.17650247306728098,14759,0.6376448268852903,154678,7
gr,1338,0.9511004544966539,139715,0.01643345381669828,0.19936350777934936,14140,0.6307637906647807,153855,8
gr,1368,0.9585184867154685,139749,0.014375773708577521,0.170610659569877,13903,0.6461914694670216,153652,9
gr,1399,0.9603988093103325,139415,0.017257827349998207,0.15698081501190309,14282,0.6246324044251506,153697,10
gr,1429,0.9609655142678519,139159,0.01680811158459029,0.15346145602629135,13997,0.6516396370650854,153156,11
gr,1460,0.9613659982994063,137599,0.0204071250517809,0.1283390239003816,14937,0.6102965789649862,152536,12
gr,1491,0.958955196860087,138093,0.01401229606134996,0.1570623022967955,14542,0.6654517948012653,152635,13
gr,1519,0.9583699140772297,138962,0.014097379139620904,0.17517780938833571,14060,0.6579658605974396,153022,14
gr,1550,0.9569099462269353,139661,0.013897938579846916,0.2004230565838181,13237,0.6391176248394651,152898,15
gr,1580,0.9591438855086125,140028,0.013840089125032137,0.161463378287758,13421,0.6296848222934207,153449,16
