variable,dt,value
employed,2018-11-01,157015
employed,2018-12-01,156481
employed,2019-01-01,154964
employed,2019-02-01,156167
employed,2019-03-01,156441
employed,2019-04-01,156710
employed,2019-05-01,157152
employed,2019-06-01,157828
employed,2019-07-01,158385
employed,2019-08-01,157816
employed,2019-09-01,158478
employed,2019-10-01,159067
employed,2019-11-01,158945
employed,2019-12-01,158504
employed,2020-01-01,156994
employed,2020-02-01,158017
employed,2020-03-01,155167
employed,2020-04-01,133326
employed,2020-05-01,137461
employed,2020-06-01,142811
employed,2020-07-01,144492
employed,2020-08-01,147224
employed,2020-09-01,147796
unemployed,2001-01-01,6647
unemployed,2001-02-01,6523
unemployed,2001-03-01,6509
unemployed,2001-04-01,6004
unemployed,2001-05-01,5901
unemployed,2001-06-01,6816
unemployed,2001-07-01,6858
unemployed,2001-08-01,7017
unemployed,2001-09-01,6766
unemployed,2001-10-01,7175
unemployed,2001-11-01,7617
unemployed,2001-12-01,7773
unemployed,2002-01-01,9051
unemployed,2002-02-01,8823
unemployed,2002-03-01,8776
unemployed,2002-04-01,8255
unemployed,2002-05-01,7969
unemployed,2002-06-01,8758
unemployed,2002-07-01,8693
unemployed,2002-08-01,8271
unemployed,2002-09-01,7790
unemployed,2002-10-01,7769
unemployed,2002-11-01,8170
unemployed,2002-12-01,8209
unemployed,2003-01-01,9395
unemployed,2003-02-01,9260
unemployed,2003-03-01,9018
unemployed,2003-04-01,8501
unemployed,2003-05-01,8500
unemployed,2003-06-01,9649
unemployed,2003-07-01,9319
unemployed,2003-08-01,8830
unemployed,2003-09-01,8436
unemployed,2003-10-01,8169
unemployed,2003-11-01,8269
unemployed,2003-12-01,7945
unemployed,2004-01-01,9144
unemployed,2004-02-01,8770
unemployed,2004-03-01,8834
unemployed,2004-04-01,7837
unemployed,2004-05-01,7792
unemployed,2004-06-01,8616
unemployed,2004-07-01,8518
unemployed,2004-08-01,7940
unemployed,2004-09-01,7545
unemployed,2004-10-01,7531
unemployed,2004-11-01,7665
unemployed,2004-12-01,7599
unemployed,2005-01-01,8444
unemployed,2005-02-01,8549
unemployed,2005-03-01,7986
unemployed,2005-04-01,7335
unemployed,2005-05-01,7287
unemployed,2005-06-01,7870
unemployed,2005-07-01,7839
unemployed,2005-08-01,7327
unemployed,2005-09-01,7259
unemployed,2005-10-01,6964
unemployed,2005-11-01,7271
unemployed,2005-12-01,6956
unemployed,2006-01-01,7608
unemployed,2006-02-01,7692
unemployed,2006-03-01,7255
unemployed,2006-04-01,6804
unemployed,2006-05-01,6655
unemployed,2006-06-01,7341
unemployed,2006-07-01,7602
unemployed,2006-08-01,7086
unemployed,2006-09-01,6625
unemployed,2006-10-01,6272
unemployed,2006-11-01,6576
unemployed,2006-12-01,6491
unemployed,2007-01-01,7649
unemployed,2007-02-01,7400
unemployed,2007-03-01,6913
unemployed,2007-04-01,6532
unemployed,2007-05-01,6486
unemployed,2007-06-01,7295
unemployed,2007-07-01,7556
unemployed,2007-08-01,7088
unemployed,2007-09-01,6952
unemployed,2007-10-01,6773
unemployed,2007-11-01,6917
unemployed,2007-12-01,7371
unemployed,2008-01-01,8221
unemployed,2008-02-01,7953
unemployed,2008-03-01,8027
unemployed,2008-04-01,7287
unemployed,2008-05-01,8076
unemployed,2008-06-01,8933
unemployed,2008-07-01,9433
unemployed,2008-08-01,9479
unemployed,2008-09-01,9199
unemployed,2008-10-01,9469
unemployed,2008-11-01,10015
unemployed,2008-12-01,10999
unemployed,2009-01-01,13009
unemployed,2009-02-01,13699
unemployed,2009-03-01,13895
unemployed,2009-04-01,13248
unemployed,2009-05-01,13973
unemployed,2009-06-01,15095
unemployed,2009-07-01,15201
unemployed,2009-08-01,14823
unemployed,2009-09-01,14538
unemployed,2009-10-01,14547
unemployed,2009-11-01,14407
unemployed,2009-12-01,14740
unemployed,2010-01-01,16147
unemployed,2010-02-01,15991
unemployed,2010-03-01,15678
unemployed,2010-04-01,14609
unemployed,2010-05-01,14369
unemployed,2010-06-01,14885
unemployed,2010-07-01,15137
unemployed,2010-08-01,14759
unemployed,2010-09-01,14140
unemployed,2010-10-01,13903
unemployed,2010-11-01,14282
unemployed,2010-12-01,13997
unemployed,2011-01-01,14937
unemployed,2011-02-01,14542
unemployed,2011-03-01,14060
unemployed,2011-04-01,13237
unemployed,2011-05-01,13421
unemployed,2011-06-01,14409
unemployed,2011-07-01,14428
unemployed,2011-08-01,14008
unemployed,2011-09-01,13520
unemployed,2011-10-01,13102
unemployed,2011-11-01,12613
unemployed,2011-12-01,12692
unemployed,2012-01-01,13541
unemployed,2012-02-01,13430
unemployed,2012-03-01,12904
unemployed,2012-04-01,11910
unemployed,2012-05-01,12271
unemployed,2012-06-01,13184
unemployed,2012-07-01,13400
unemployed,2012-08-01,12696
unemployed,2012-09-01,11742
unemployed,2012-10-01,11741
unemployed,2012-11-01,11404
unemployed,2012-12-01,11844
unemployed,2013-01-01,13181
unemployed,2013-02-01,12500
unemployed,2013-03-01,11815
unemployed,2013-04-01,11014
unemployed,2013-05-01,11302
unemployed,2013-06-01,12248
unemployed,2013-07-01,12083
unemployed,2013-08-01,11462
unemployed,2013-09-01,10885
unemployed,2013-10-01,10773
unemployed,2013-11-01,10271
unemployed,2013-12-01,9984
unemployed,2014-01-01,10855
unemployed,2014-02-01,10893
unemployed,2014-03-01,10537
unemployed,2014-04-01,9079
unemployed,2014-05-01,9443
unemployed,2014-06-01,9893
unemployed,2014-07-01,10307
unemployed,2014-08-01,9787
unemployed,2014-09-01,8962
unemployed,2014-10-01,8680
unemployed,2014-11-01,8630
unemployed,2014-12-01,8331
unemployed,2015-01-01,9498
unemployed,2015-02-01,9095
unemployed,2015-03-01,8682
unemployed,2015-04-01,7966
unemployed,2015-05-01,8370
unemployed,2015-06-01,8638
unemployed,2015-07-01,8805
unemployed,2015-08-01,8162
unemployed,2015-09-01,7628
unemployed,2015-10-01,7597
unemployed,2015-11-01,7573
unemployed,2015-12-01,7542
unemployed,2016-01-01,8309
unemployed,2016-02-01,8219
unemployed,2016-03-01,8116
unemployed,2016-04-01,7413
unemployed,2016-05-01,7207
unemployed,2016-06-01,8144
unemployed,2016-07-01,8267
unemployed,2016-08-01,7996
unemployed,2016-09-01,7658
unemployed,2016-10-01,7447
unemployed,2016-11-01,7066
unemployed,2016-12-01,7170
unemployed,2017-01-01,8149
unemployed,2017-02-01,7887
unemployed,2017-03-01,7284
unemployed,2017-04-01,6555
unemployed,2017-05-01,6572
unemployed,2017-06-01,7250
unemployed,2017-07-01,7441
unemployed,2017-08-01,7287
unemployed,2017-09-01,6556
unemployed,2017-10-01,6242
unemployed,2017-11-01,6286
unemployed,2017-12-01,6278
unemployed,2018-01-01,7189
unemployed,2018-02-01,7091
unemployed,2018-03-01,6671
unemployed,2018-04-01,5932
unemployed,2018-05-01,5756
unemployed,2018-06-01,6812
unemployed,2018-07-01,6730
unemployed,2018-08-01,6370
unemployed,2018-09-01,5766
unemployed,2018-10-01,5771
unemployed,2018-11-01,5650
unemployed,2018-12-01,6029
unemployed,2019-01-01,7140
unemployed,2019-02-01,6625
unemployed,2019-03-01,6382
unemployed,2019-04-01,5387
unemployed,2019-05-01,5503
unemployed,2019-06-01,6292
unemployed,2019-07-01,6556
unemployed,2019-08-01,6203
unemployed,2019-09-01,5465
unemployed,2019-10-01,5510
unemployed,2019-11-01,5441
unemployed,2019-12-01,5503
unemployed,2020-01-01,6504
unemployed,2020-02-01,6218
unemployed,2020-03-01,7370
unemployed,2020-04-01,22504
unemployed,2020-05-01,20514
unemployed,2020-06-01,18072
unemployed,2020-07-01,16882
unemployed,2020-08-01,13742
unemployed,2020-09-01,12277
ee,2001-01-01,131144
ee,2001-02-01,130472
ee,2001-03-01,131695
ee,2001-04-01,131787
ee,2001-05-01,131520
ee,2001-06-01,130752
ee,2001-07-01,131846
ee,2001-08-01,130662
ee,2001-09-01,130256
ee,2001-10-01,131376
ee,2001-11-01,130815
ee,2001-12-01,131340
ee,2002-01-01,129225
ee,2002-02-01,128922
ee,2002-03-01,130261
ee,2002-04-01,130423
ee,2002-05-01,130307
ee,2002-06-01,130562
ee,2002-07-01,131505
ee,2002-08-01,130806
ee,2002-09-01,131157
ee,2002-10-01,131797
ee,2002-11-01,131205
ee,2002-12-01,131845
ee,2003-01-01,129992
ee,2003-02-01,130891
ee,2003-03-01,131393
ee,2003-04-01,131892
ee,2003-05-01,131786
ee,2003-06-01,131759
ee,2003-07-01,132508
ee,2003-08-01,131653
ee,2003-09-01,131495
ee,2003-10-01,132134
ee,2003-11-01,133162
ee,2003-12-01,133435
ee,2004-01-01,131930
ee,2004-02-01,131975
ee,2004-03-01,132347
ee,2004-04-01,132365
ee,2004-05-01,133212
ee,2004-06-01,133456
ee,2004-07-01,133655
ee,2004-08-01,134346
ee,2004-09-01,132947
ee,2004-10-01,134137
ee,2004-11-01,135051
ee,2004-12-01,135195
ee,2005-01-01,133634
ee,2005-02-01,133471
ee,2005-03-01,134238
ee,2005-04-01,134531
ee,2005-05-01,135832
ee,2005-06-01,135380
ee,2005-07-01,136751
ee,2005-08-01,137074
ee,2005-09-01,135951
ee,2005-10-01,137249
ee,2005-11-01,137850
ee,2005-12-01,137620
ee,2006-01-01,136428
ee,2006-02-01,136009
ee,2006-03-01,136998
ee,2006-04-01,137438
ee,2006-05-01,138055
ee,2006-06-01,137719
ee,2006-07-01,139169
ee,2006-08-01,139195
ee,2006-09-01,138038
ee,2006-10-01,139835
ee,2006-11-01,140425
ee,2006-12-01,140459
ee,2007-01-01,138962
ee,2007-02-01,138098
ee,2007-03-01,139318
ee,2007-04-01,139896
ee,2007-05-01,140139
ee,2007-06-01,139683
ee,2007-07-01,141219
ee,2007-08-01,140075
ee,2007-09-01,139963
ee,2007-10-01,140885
ee,2007-11-01,141582
ee,2007-12-01,141415
ee,2008-01-01,139488
ee,2008-02-01,138711
ee,2008-03-01,139313
ee,2008-04-01,140210
ee,2008-05-01,140171
ee,2008-06-01,140134
ee,2008-07-01,140725
ee,2008-08-01,139692
ee,2008-09-01,138892
ee,2008-10-01,139504
ee,2008-11-01,139523
ee,2008-12-01,138551
ee,2009-01-01,135356
ee,2009-02-01,134416
ee,2009-03-01,134369
ee,2009-04-01,134217
ee,2009-05-01,135005
ee,2009-06-01,134328
ee,2009-07-01,134301
ee,2009-08-01,134130
ee,2009-09-01,132773
ee,2009-10-01,133113
ee,2009-11-01,133759
ee,2009-12-01,133127
ee,2010-01-01,131274
ee,2010-02-01,131346
ee,2010-03-01,131849
ee,2010-04-01,132778
ee,2010-05-01,133707
ee,2010-06-01,133767
ee,2010-07-01,133380
ee,2010-08-01,133635
ee,2010-09-01,132883
ee,2010-10-01,133952
ee,2010-11-01,133894
ee,2010-12-01,133727
ee,2011-01-01,132283
ee,2011-02-01,132425
ee,2011-03-01,133177
ee,2011-04-01,133643
ee,2011-05-01,134307
ee,2011-06-01,133411
ee,2011-07-01,133997
ee,2011-08-01,134254
ee,2011-09-01,133259
ee,2011-10-01,135058
ee,2011-11-01,135510
ee,2011-12-01,135294
ee,2012-01-01,133877
ee,2012-02-01,134633
ee,2012-03-01,135625
ee,2012-04-01,136354
ee,2012-05-01,137006
ee,2012-06-01,136306
ee,2012-07-01,136902
ee,2012-08-01,135810
ee,2012-09-01,136545
ee,2012-10-01,138093
ee,2012-11-01,138370
ee,2012-12-01,137862
ee,2013-01-01,136400
ee,2013-02-01,135925
ee,2013-03-01,136902
ee,2013-04-01,137656
ee,2013-05-01,138184
ee,2013-06-01,138176
ee,2013-07-01,138738
ee,2013-08-01,137922
ee,2013-09-01,138077
ee,2013-10-01,138550
ee,2013-11-01,139215
ee,2013-12-01,139298
ee,2014-01-01,137545
ee,2014-02-01,138101
ee,2014-03-01,138883
ee,2014-04-01,140066
ee,2014-05-01,140097
ee,2014-06-01,140474
ee,2014-07-01,141047
ee,2014-08-01,139999
ee,2014-09-01,140181
ee,2014-10-01,141266
ee,2014-11-01,142266
ee,2014-12-01,141744
ee,2015-01-01,140320
ee,2015-02-01,140737
ee,2015-03-01,141508
ee,2015-04-01,141910
ee,2015-05-01,143033
ee,2015-06-01,142667
ee,2015-07-01,142666
ee,2015-08-01,142545
ee,2015-09-01,142419
ee,2015-10-01,143144
ee,2015-11-01,144032
ee,2015-12-01,143956
ee,2016-01-01,142755
ee,2016-02-01,143783
ee,2016-03-01,144595
ee,2016-04-01,144941
ee,2016-05-01,145662
ee,2016-06-01,144880
ee,2016-07-01,145816
ee,2016-08-01,145644
ee,2016-09-01,144629
ee,2016-10-01,146384
ee,2016-11-01,146378
ee,2016-12-01,146119
ee,2017-01-01,144445
ee,2017-02-01,144638
ee,2017-03-01,146278
ee,2017-04-01,147163
ee,2017-05-01,147543
ee,2017-06-01,146497
ee,2017-07-01,147555
ee,2017-08-01,147421
ee,2017-09-01,146501
ee,2017-10-01,148168
ee,2017-11-01,148316
ee,2017-12-01,148088
ee,2018-01-01,146608
ee,2018-02-01,147410
ee,2018-03-01,148751
ee,2018-04-01,149372
ee,2018-05-01,150315
ee,2018-06-01,149289
ee,2018-07-01,149964
ee,2018-08-01,148673
ee,2018-09-01,149124
ee,2018-10-01,150674
ee,2018-11-01,151186
ee,2018-12-01,150803
ee,2019-01-01,149114
ee,2019-02-01,149096
ee,2019-03-01,150434
ee,2019-04-01,151085
ee,2019-05-01,150904
ee,2019-06-01,150940
ee,2019-07-01,151519
ee,2019-08-01,150977
ee,2019-09-01,151527
ee,2019-10-01,152964
ee,2019-11-01,153133
ee,2019-12-01,152765
ee,2020-01-01,150828
ee,2020-02-01,151735
ee,2020-03-01,150003
ee,2020-04-01,128706
ee,2020-05-01,124694
ee,2020-06-01,130078
ee,2020-07-01,134413
ee,2020-08-01,137801
ee,2020-09-01,139794
ue,2001-01-01,1423
ue,2001-02-01,2158
ue,2001-03-01,1834
ue,2001-04-01,1951
ue,2001-05-01,1983
ue,2001-06-01,2008
ue,2001-07-01,1984
ue,2001-08-01,2241
ue,2001-09-01,2208
ue,2001-10-01,1856
ue,2001-11-01,2034
ue,2001-12-01,1752
ue,2002-01-01,1662
ue,2002-02-01,2710
ue,2002-03-01,2178
ue,2002-04-01,2229
ue,2002-05-01,2287
ue,2002-06-01,1882
ue,2002-07-01,2074
ue,2002-08-01,2524
ue,2002-09-01,2364
ue,2002-10-01,1954
ue,2002-11-01,1845
ue,2002-12-01,1623
ue,2003-01-01,1723
ue,2003-02-01,2087
ue,2003-03-01,1986
ue,2003-04-01,2236
ue,2003-05-01,2204
ue,2003-06-01,1973
ue,2003-07-01,2185
ue,2003-08-01,2478
ue,2003-09-01,2238
ue,2003-10-01,2222
ue,2003-11-01,1790
ue,2003-12-01,1896
ue,2004-01-01,1600
ue,2004-02-01,2053
ue,2004-03-01,1913
ue,2004-04-01,2488
ue,2004-05-01,2033
ue,2004-06-01,1896
ue,2004-07-01,2488
ue,2004-08-01,2124
ue,2004-09-01,2535
ue,2004-10-01,2087
ue,2004-11-01,1842
ue,2004-12-01,1726
ue,2005-01-01,1606
ue,2005-02-01,2100
ue,2005-03-01,2069
ue,2005-04-01,2381
ue,2005-05-01,1898
ue,2005-06-01,2014
ue,2005-07-01,1981
ue,2005-08-01,2247
ue,2005-09-01,2221
ue,2005-10-01,1935
ue,2005-11-01,1770
ue,2005-12-01,1600
ue,2006-01-01,1612
ue,2006-02-01,2072
ue,2006-03-01,1994
ue,2006-04-01,2027
ue,2006-05-01,1909
ue,2006-06-01,2069
ue,2006-07-01,2060
ue,2006-08-01,2178
ue,2006-09-01,2432
ue,2006-10-01,1875
ue,2006-11-01,1674
ue,2006-12-01,1703
ue,2007-01-01,1551
ue,2007-02-01,2350
ue,2007-03-01,2161
ue,2007-04-01,1902
ue,2007-05-01,1872
ue,2007-06-01,1831
ue,2007-07-01,1935
ue,2007-08-01,2289
ue,2007-09-01,2068
ue,2007-10-01,1900
ue,2007-11-01,1729
ue,2007-12-01,1565
ue,2008-01-01,1634
ue,2008-02-01,2166
ue,2008-03-01,2074
ue,2008-04-01,2196
ue,2008-05-01,1976
ue,2008-06-01,1912
ue,2008-07-01,2072
ue,2008-08-01,2431
ue,2008-09-01,2460
ue,2008-10-01,2331
ue,2008-11-01,1878
ue,2008-12-01,1641
ue,2009-01-01,1773
ue,2009-02-01,2289
ue,2009-03-01,2345
ue,2009-04-01,2932
ue,2009-05-01,2079
ue,2009-06-01,2485
ue,2009-07-01,2898
ue,2009-08-01,2533
ue,2009-09-01,2777
ue,2009-10-01,2475
ue,2009-11-01,2367
ue,2009-12-01,1876
ue,2010-01-01,2026
ue,2010-02-01,2479
ue,2010-03-01,2744
ue,2010-04-01,3196
ue,2010-05-01,2477
ue,2010-06-01,2264
ue,2010-07-01,2825
ue,2010-08-01,2605
ue,2010-09-01,2819
ue,2010-10-01,2372
ue,2010-11-01,2242
ue,2010-12-01,2148
ue,2011-01-01,1917
ue,2011-02-01,2284
ue,2011-03-01,2463
ue,2011-04-01,2653
ue,2011-05-01,2167
ue,2011-06-01,2457
ue,2011-07-01,2388
ue,2011-08-01,2531
ue,2011-09-01,2886
ue,2011-10-01,2385
ue,2011-11-01,2270
ue,2011-12-01,2060
